Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
  170    0.098958174    0   0
  180    0.098938988    0   0
  190    0.098920418    0   0
  200    0.098902432    0   0
  210    0.098885001    0   0
  220    0.098868099    0   0
  230    0.098851703    0   0
  240    0.098835788    0   0
  250    0.098820339    0   0
  260    0.098805335    0   0
  270    0.098790757    0   0
  280    0.098776585    0   0
  290    0.098762799    0   0
  300    0.098749386    0   0
  310    0.098736333    0   0
  320    0.098723631    0   0
  330    0.098711263    0   0
  340    0.098699217    0   0
  350    0.098687483    0   0
  360    0.098676048    0   0
  370    0.098664900    0   0
  380    0.098654031    0   0
  390    0.098643432    0   0
  400    0.098633098    0   0
  410    0.098623013    1   0
Solution converged in 419 iterations with final
                                            objective=0.098614142, slow progress with global relative
                                            objective=0.000000976<=1e-06 for 10 non-consecutive
                                            iterations
  419    0.098614142    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1.333521432163324e-06
Iter    objective   convergence_count   no_progress_count
    0    0.096129404    0   0
   10    0.096082415    0   0
   20    0.096041522    0   0
   30    0.096004044    0   0
   40    0.095968963    0   0
   50    0.095935776    0   0
   60    0.095904194    0   0
   70    0.095874015    0   0
   80    0.095845093    0   0
   90    0.095817316    0   0
  100    0.095790592    0   0
  110    0.095764845    0   0
  120    0.095740011    0   0
  130    0.095716037    0   0
  140    0.095692864    0   0
  150    0.095670451    0   0
  160    0.095648756    0   0
  170    0.095627744    0   0
  180    0.095607383    0   0
  190    0.095587642    0   0
  200    0.095568490    0   0
  210    0.095549902    0   0
  220    0.095531854    0   0
  230    0.095514322    0   0
  240    0.095497283    0   0
  250    0.095480718    0   0
  260    0.095464606    0   0
  270    0.095448930    0   0
  280    0.095433675    0   0
  290    0.095418821    0   0
  300    0.095404358    0   0
  310    0.095390274    0   0
  320    0.095376551    0   0
  330    0.095363178    0   0
  340    0.095350142    0   0
  350    0.095337431    0   0
  360    0.095325036    0   0
  370    0.095312947    0   0
  380    0.095301151    0   0
  390    0.095289640    0   0
  400    0.095278408    0   0
  410    0.095267442    0   0
  420    0.095256731    0   0
  430    0.095246267    0   0
  440    0.095236043    0   0
  450    0.095226052    5   0
Solution converged in 455 iterations with final
                                            objective=0.095221143, slow progress with global relative
                                            objective=0.000000977<=1e-06 for 10 non-consecutive
                                            iterations
  455    0.095221143    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1e-06
Iter    objective   convergence_count   no_progress_count
    0    0.092811824    0   0
   10    0.092768065    0   0
   20    0.092728459    0   0
   30    0.092691332    0   0
   40    0.092656062    0   0
   50    0.092622338    0   0
   60    0.092589968    0   0
   70    0.092558817    0   0
   80    0.092528786    0   0
   90    0.092499792    0   0
  100    0.092471771    0   0
  110    0.092444666    0   0
  120    0.092418428    0   0
  130    0.092393008    0   0
  140    0.092368362    0   0
  150    0.092344459    0   0
  160    0.092321259    0   0
  170    0.092298731    0   0
  180    0.092276845    0   0
  190    0.092255575    0   0
  200    0.092234893    0   0
  210    0.092214776    0   0
  220    0.092195202    0   0
  230    0.092176149    0   0
  240    0.092157597    0   0
  250    0.092139526    0   0
  260    0.092121917    0   0
  270    0.092104754    0   0
  280    0.092088024    0   0
  290    0.092071709    0   0
  300    0.092055794    0   0
  310    0.092040267    0   0
  320    0.092025118    0   0
  330    0.092010330    0   0
  340    0.091995891    0   0
  350    0.091981791    0   0
  360    0.091968025    0   0
  370    0.091954581    0   0
  380    0.091941446    0   0
  390    0.091928613    0   0
  400    0.091916070    0   0
  410    0.091903808    0   0
  420    0.091891817    0   0
  430    0.091880090    0   0
  440    0.091868620    0   0
  450    0.091857399    0   0
  460    0.091846422    0   0
  470    0.091835681    0   0
  480    0.091825170    0   0
  490    0.091814880    0   0
  500    0.091804807    2   0
Solution converged in 508 iterations with final
                                            objective=0.091796901, slow progress with global relative
                                            objective=0.000000981<=1e-06 for 10 non-consecutive
                                            iterations
  508    0.091796901    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324558e-07
Iter    objective   convergence_count   no_progress_count
    0    0.089399505    0   0
   10    0.089358854    0   0
   20    0.089320923    0   0
   30    0.089284740    0   0
   40    0.089249956    0   0
   50    0.089216392    0   0
   60    0.089183935    0   0
   70    0.089152501    0   0
   80    0.089122026    0   0
   90    0.089092458    0   0
  100    0.089063750    0   0
  110    0.089035863    0   0
  120    0.089008761    0   0
  130    0.088982405    0   0
  140    0.088956763    0   0
  150    0.088931806    0   0
  160    0.088907506    0   0
  170    0.088883841    0   0
  180    0.088860785    0   0
  190    0.088838314    0   0
  200    0.088816408    0   0
  210    0.088795045    0   0
  220    0.088774207    0   0
  230    0.088753876    0   0
  240    0.088734032    0   0
  250    0.088714661    0   0
  260    0.088695748    0   0
  270    0.088677279    0   0
  280    0.088659238    0   0
  290    0.088641612    0   0
  300    0.088624389    0   0
  310    0.088607556    0   0
  320    0.088591100    0   0
  330    0.088575010    0   0
  340    0.088559275    0   0
